Title,Authors,Price,Stars,Number of Reviews,Country
Machine Learning for Kids (Tinker Toddlers): STEAM Book to Kick-Start Your Future Genius!  ,[],0.0,5,53,Australia
Machine Learning Bookcamp: Build a Portfolio of Real-Life Projects  ,[],28.0,4,443,Australia
AWS Certified Machine Learning Study Guide: Specialty (MLS-C01) Exam  ,[],64.0,4,427,Australia
Machine Learning in Finance: From Theory to Practice  ,[],141.0,1,453,Australia
Interpretable Machine Learning with Python: Learn to build interpretable high-performance models with hands-on real-world examples  ,[],96.0,4,296,Australia
Machine Learning for Business: A Simple Guide to Data Driven Technologies using Machine Learning and Deep Learning (Business and Finance Book 1)  ,[],0.0,2,390,Australia
"Bias in AI and Machine Learning: Decoding Algorithmic Fairness in AI Systems: Exploring the Mathematics, Statistics, and Ethics of Fairness in Machine Learning and Artificial Intelligence  ",[],0.0,4,455,Australia
Signal Processing Driven Machine Learning Techniques for Cardiovascular Data Processing  ,[],336.0,2,334,Australia
Econometrics with Machine Learning: 53  ,[],267.0,3,191,Australia
The Machine Learning Simplified: A Gentle Introduction to Supervised Learning  ,[],8.0,1,202,Australia
Cambridge Bayesian Reasoning and Machine Learning Book - Hardback - 02 February 2012  ,[],98.0,1,292,Australia
Machine Learning: Architecture in the age of Artificial Intelligence  ,[],62.0,4,475,Australia
"Machine Learning for Beginners: A Comprehensive Guide to Mastering Algorithms, Data Science, and Artificial Intelligence  ",[],0.0,4,213,Australia
"Python for Data Visualization for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn, Step-by-Step Guide with Hands-on Projects and Exercises ... Learning & Data Science for Beginners)  ",[],11.0,2,490,Australia
"Machine Learning Mastery: From A to Z with Code : ""A to Z Machine Learning with Code: From Fundamentals to Advanced Concepts – A Hands-On Guide for Building Intelligent Systems""  ",[],5.0,4,409,Australia
Machine Learning: The Art and Science of Algorithms that Make Sense of Data  ,[],69.0,4,245,Australia
Transformers for Machine Learning: A Deep Dive  ,[],80.0,5,285,Australia
"Machine Learning for Time-Series with Python: Forecast, predict, and detect anomalies with state-of-the-art machine learning methods  ",[],54.0,2,205,Australia
The Kaggle Book: Data analysis and machine learning for competitive data science  ,[],101.0,1,36,Australia
"Machine Learning For Beginners: A Comprehensive Beginners Guide To Machine Learning, No Experience Required!  ",[],0.0,3,70,Australia
"Scaling Machine Learning with Spark: Distributed ML with Mllib, Tensorflow, and Pytorch  ",[],126.0,3,30,Australia
Machine Learning in R for Everyone  ,[],0.0,1,194,Australia
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning  ,[],47.907922101701004,5,255,Australia
Metalearning: Applications to Automated Machine Learning and Data Mining (Cognitive Technologies)  ,[],0.0,3,494,Australia
Machine Learning with PySpark: With Natural Language Processing and Recommender Systems  ,[],73.0,2,276,Australia
MACHINE LEARNING AND JAVA CODING MADE SIMPLE: A BEGINNER’S GUIDE TO PROGRAMMING - 2 BOOKS IN 1  ,[],0.0,3,210,Australia
"Machine Learning Concepts from A to Z: A Comprehensive Guide with Code: Machine Learning Mastery: From A to Z with Code - Practical Examples, Algorithms, and Applications  ",[],0.0,5,273,Australia
Machine Learning for Beginners: Learn to Build Machine Learning Systems Using Python (English Edition)  ,[],63.0,3,181,Australia
Machine Learning - Regression and Classification (math Inc.): A complete Beginner to Advance level guide to Machine Learning. Hands-on Learning approach with in-depth math concepts  ,[],0.0,1,335,Australia
"Advanced Probabilistic Graphical Models in Machine Learning: A Comprehensive Treatise on Bayesian Networks, Markov Chains, and Beyond  ",[],0.0,3,397,Australia
"Python Machine Learning for Beginners: Learning from Scratch Numpy, Pandas, Matplotlib, Seaborn, SKlearn and TensorFlow 2.0 for Machine Learning & Deep ... Learning & Data Science for Beginners)  ",[],11.0,2,98,Australia
"Hands-On Machine Learning with C++: Build, train, and deploy end-to-end machine learning and deep learning pipelines  ",[],96.0,2,135,Australia
TensorFlow 2 Pocket Reference: Building and Deploying Machine Learning Models  ,[],31.0,3,426,Australia
Building Machine Learning Powered Applications: Going from Idea to Product  ,[],65.0,3,64,Australia
Python Machine Learning: The Ultimate Intermediate Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming)  ,[],0.0,4,249,Australia
Machine Learning for Asset Managers  ,[],21.0,5,251,Australia
"Machine Learning for Multimodal Healthcare Data: First International Workshop, ML4MHD 2023, Honolulu, Hawaii, USA, July 29, 2023, Proceedings (Lecture Notes in Computer Science Book 14315)  ",[],75.0,3,250,Australia
Introducing MLOps: How to Scale Machine Learning in the Enterprise  ,[],84.0,3,204,Australia
"Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow  ",[],38.0,4,59,Australia
Python Machine Learning  ,[],61.0,2,476,Australia
Machine Learning with Python for Beginners: Learn Machine Learning with Practical Projects  ,[],11.0,1,500,Australia
Machine Learning for Risk Calculations: A Practitioner's View  ,[],116.0,2,497,Australia
Hands-On Gradient Boosting with XGBoost and scikit-learn: Perform accessible machine learning and extreme gradient boosting with Python  ,[],55.0,4,301,Australia
Machine Learning: 3 books in 1: - Hacking Tools for Computer + Hacking With Kali Linux + Python Programming- The ultimate beginners guide to improve your knowledge of programming and data science  ,[],0.0,2,113,Australia
Machine Learning by Tutorials (Second Edition): Beginning Machine Learning for Apple and iOS  ,[],73.36821894310529,2,474,Australia
Class Imabalance in Machine Learning  ,[],0.0,1,394,Australia
MACHINE LEARNING: 2 Manuscripts in 1 Book: Machine Learning For Beginners & Machine Learning With Python  ,[],0.0,5,261,Australia
"Machine Learning: The Absolute Complete Beginner’s Guide to Learn and Understand Machine Learning From Beginners, Intermediate, Advanced, To Expert Concepts  ",[],0.0,5,48,Australia
"Machine Learning for Babies: AI for the Next Generation, Future Leaders Start Here. (CurioBook: Ignite Curiosity and Imagination. STEAM Education for the New AI Era!)  ",[],0.0,1,50,Australia
Machine Learning for Data Streams: with Practical Examples in MOA (Adaptive Computation and Machine Learning series)  ,[],81.0,3,83,Australia
"The Elements of Statistical Learning: Data Mining, Inference, andPrediction 2e: Data Mining, Inference, and Prediction, Second Edition  ",[],84.0,3,143,Australia
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control  ",[],84.0,1,145,Australia
Machine Learning and Big Data with kdb+/q  ,[],122.0,4,226,Australia
Machine Learning and AI Beyond the Basics  ,[],58.0,1,278,Australia
Before Machine Learning Volume 1 - Linear Algebra for A.I: The fundamental mathematics for Data Science and Artificial Inteligence.  ,[],11.0,4,210,Australia
Advances in Financial Machine Learning  ,[],59.0,5,457,Australia
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting  ,[],78.0,1,206,Australia
"Automated Machine Learning: Methods, Systems, Challenges (The Springer Series on Challenges in Machine Learning)  ",[],0.0,2,332,Australia
Introduction to Machine Learning  ,[],75.0,5,224,Australia
Machine Learning With Python For Beginners: A Step-By-Step Guide with Hands-On Projects (Learn Coding Fast with Hands-On Project Book 7)  ,[],0.0,5,391,Australia
"Python Machine Learning By Example: Build intelligent systems using Python, TensorFlow 2, PyTorch, and scikit-learn, 3rd Edition  ",[],33.0,3,372,Australia
Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms  ,[],89.0,4,359,Australia
"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition  ",[],74.0,2,185,Australia
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning  ",[],42.0,1,93,Australia
Hands-On Automated Machine Learning: A beginner's guide to building automated machine learning systems using AutoML and Python  ,[],74.0,2,304,Australia
Machine Learning Engineering  ,[],49.0,1,68,Australia
"Deep Learning with TensorFlow and Keras: Build and deploy supervised, unsupervised, deep, and reinforcement learning models, 3rd Edition  ",[],87.0,1,499,Australia
Practical MLOps: Operationalizing Machine Learning Models  ,[],92.0,2,300,Australia
"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition  ",[],59.0,1,450,Australia
Python Data Science Handbook: Essential Tools for Working with Data  ,[],82.0,4,451,Australia
Cambridge Machine Learning : A First Course for Engineers and Scientists Book - Hardback - 31 March 2022  ,[],68.0,2,364,Australia
Machine Learning for Factor Investing: R Version (Chapman and Hall/CRC Financial Mathematics Series)  ,[],118.0,5,101,Australia
Machine Learning with Python: The Definitive Guide to Mastering Machine Learning in Python and a Problem-Guide Solver to Creating Real-World Intelligent Systems  ,[],0.0,2,243,Australia
Machine Learning Interview Questions and Answers (Become a ML Engineer Book 1)  ,[],3.0,2,111,Australia
"Natural Language Processing with Transformers, Revised Edition  ",[],51.0,2,478,Australia
"Beginner Machine Learning in Python + ChatGPT [2023]: Build a solid foundation in Machine Learning: Linear Regression, Logistic Regression and K-Means Clustering in Python  ",[],0.0,3,238,Australia
Machine Learning with Python Cookbook  ,[],98.0,2,211,Australia
Machine Learning in Production: Master the art of delivering robust Machine Learning solutions with MLOps (English Edition)  ,[],17.0,3,490,Australia
AWS Certified Machine Learning Specialty: MLS-C01 Certification Guide: The definitive guide to passing the MLS-C01 exam on the very first attempt  ,[],93.0,1,113,Australia
Machine Learning for High-Risk Applications  ,[],100.0,1,305,Australia
"Machine Learning: The Ultimate Guide to Machine Learning, Neural Networks and Deep Learning for Beginners Who Want to Understand Applications, Artificial Intelligence, Data Mining, Big Data and More  ",[],8.0,2,168,Australia
Machine Learning Book: The Basics Of Machine Learning And Artificial Intelligence  ,[],8.0,3,118,Australia
"Learn Amazon SageMaker: A guide to building, training, and deploying machine learning models for developers and data scientists, 2nd Edition  ",[],87.0,3,208,Australia
Computational Formalism: Art History and Machine Learning  ,[],84.0,3,185,Australia
Machine Learning for Beginners: Build and deploy Machine Learning systems using Python - 2nd Edition  ,[],29.0,5,30,Australia
Machine Learning for Cybersecurity Cookbook: Over 80 recipes on how to implement machine learning algorithms for building security systems using Python  ,[],50.0,1,28,Australia
Machine Learning from Weak Supervision: An Empirical Risk Minimization Approach (Adaptive Computation and Machine Learning series)  ,[],48.0,2,279,Australia
"Introduction to Machine Learning, fourth edition (Adaptive Computation and Machine Learning series)  ",[],125.0,2,348,Australia
Machine Learning in Asset Pricing (Princeton Lectures in Finance Book 8)  ,[],60.0,3,204,Australia
The Machine Learning Bible: [4 in 1] From Scikit-Learn to Pytorch and Everything in between to Build Smart Systems – Top Secret Tips and Tricks to Break ... Design Interview (Python Programming)  ,[],0.0,2,141,Australia
Introduction to Machine Learning  ,[],20.819181637155467,2,128,Australia
"Machine Learning, revised and updated edition  ",[],17.0,1,470,Australia
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition  ",[],58.0,4,427,Australia
Multimodal Biometric and Machine Learning Technologies: Applications for Computer Vision  ,[],302.0,1,279,Australia
Deep Learning with Python  ,[],44.0,2,469,Australia
Mathematics for Machine Learning  ,[],54.0,1,425,Australia
Machine Learning: Make Your Own Recommender System (Machine Learning with Python for Beginners Book Series 3)  ,[],0.0,5,54,Australia
Machine Learning System Design Interview  ,[],23.953383479537944,3,370,Australia
Machine Learning: 4 Books in 1: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide to Build Intelligent Systems Using Python Libraries  ,[],0.0,4,295,Australia
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps  ",[],51.0,3,470,Australia
Deep Learning  ,[],194.0,4,364,Australia
Machine Learning for Kids: A Project-Based Introduction to Artificial Intelligence  ,[],33.0,2,2,Australia
"Machine Learning Refined: Foundations, Algorithms, and Applications  ",[],81.0,1,192,Australia
"Machine Learning for Beginners: Absolute Beginners Guide, Learn Machine Learning and Artificial Intelligence from Scratch (Python, Machine Learning Book 2)  ",[],0.0,4,329,Australia
Building Machine Learning Pipelines: Automating Model Life Cycles with Tensorflow  ,[],68.0,3,261,Australia
Machine Learning For Dummies  ,[],41.0,3,345,Australia
Introduction to Machine Learning with Python: A Guide for Data Scientists  ,[],50.0,2,8,Australia
Reliable Machine Learning: Applying SRE Principles to ML in Production  ,[],100.0,3,153,Australia
Gaussian Processes for Machine Learning  ,[],94.0,5,309,Australia
"Fundamentals of Machine Learning for Predictive Data Analytics, second edition: Algorithms, Worked Examples, and Case Studies  ",[],84.0,1,143,Australia
Machine Learning: An Applied Mathematics Introduction  ,[],28.0,5,480,Australia
Automated Machine Learning in Action  ,[],69.90789450598555,1,126,Australia
"Machine Learning: An Essential Guide to Machine Learning for Beginners Who Want to Understand Applications, Artificial Intelligence, Data Mining, Big Data and More  ",[],0.0,3,101,Australia
Data Science and Machine Learning: Mathematical and Statistical Methods  ,[],151.0,3,390,Australia
Understanding Machine Learning: From Theory to Algorithms  ,[],76.0,2,304,Australia
Machine Learning with Amazon SageMaker Cookbook: 80 proven recipes for data scientists and developers to perform machine learning experiments and deployments  ,[],57.0,3,410,Australia
"Natural Language Processing with Transformers, Revised Edition  ",[],51.0,1,390,Australia
Lecture Notes for Machine Learning and Data Science Courses  ,[],0.0,2,408,Australia
"Data Science: A Comprehensive Guide to Data Science, Data Analytics, Data Mining, Artificial Intelligence, Machine Learning, and Big Data  ",[],0.0,4,104,Australia
"Machine Learning Security Principles: Keep data, networks, users, and applications safe from prying eyes  ",[],82.0,1,429,Australia
MACHINE LEARNING AND BIG DATA HADOOP MADE SIMPLE - 2 BOOKS IN 1: A BEGINNER'S GUIDE TO PROGRAMMING  ,[],0.0,4,11,Australia
3D Recording and Interpretation for Maritime Archaeology (Coastal Research Library Book 31)  ,[],0.0,1,41,Australia
"Mastering Azure Machine Learning: Execute large-scale end-to-end machine learning with Azure, 2nd Edition  ",[],71.0,4,301,Australia
"Machine Learning and Knowledge Discovery in Databases: Applied Data Science and Demo Track: European Conference, ECML PKDD 2023, Turin, Italy, September ... Notes in Computer Science Book 14175)  ",[],84.0,3,133,Australia
"Machine Learning and Knowledge Discovery in Databases: Research Track: European Conference, ECML PKDD 2023, Turin, Italy, September 18–22, 2023, Proceedings, ... Notes in Computer Science Book 14173)  ",[],92.0,2,453,Australia
Python Machine Learning for Beginners: Unlocking the Power of Data. A Beginner's Guide to Machine Learning with Python  ,[],0.0,2,3,Australia
A Quick Guide to Card Games with Unity: Get Started with Card Games in less than 60 minutes  ,[],2.0,5,479,Australia
Artificial Intelligence and Machine Learning: An Intelligent Perspective of Emerging Technologies (Innovations in Health Informatics and Healthcare)  ,[],66.0,1,271,Australia
Neural Networks and Deep Learning: A Textbook  ,[],59.0,5,83,Australia
Machine Learning with Microsoft Technologies: Selecting the Right Architecture and Tools for Your Project  ,[],41.0,2,104,Australia
"Machine Learning: The Most Complete Guide for Beginners to Mastering Deep Learning, Artificial Intelligence and Data Science with Python. This Book Includes: Python Machine Learning and Data Science.  ",[],66.01233283917844,2,384,Australia
Machine Learning: a Concise Introduction (Wiley Series in Probability and Statistics Book 285)  ,[],162.0,1,122,Australia
Financial Modeling Using Quantum Computing: Design and manage quantum machine learning solutions for financial analysis and decision making  ,[],39.0,1,446,Australia
Artificial Intelligence and Machine Learning in Project Management: A New Era of Transformation: Transforming Project Execution: Harnessing AI and ML to Revolutionize the Way We Manage Projects  ,[],0.0,2,364,Australia
Python: Advanced Guide to Artificial Intelligence: Expert machine learning systems and intelligent agents using Python  ,[],105.0,3,350,Australia
How to Start a Blog Today: A Free Step-by-Step Beginner’s Guide to Create a Blog in 20 minutes  ,[],0.0,2,384,Australia
Machine Learning: Step-by-Step Guide To Implement Machine Learning Algorithms with Python (Artificial Intelligence Book 2)  ,[],0.0,2,346,Australia
Statistically Sound Machine Learning for Automated Trading of Financial Instruments: Developing Predictive-Model Based Trading Systems Using TSSB  ,[],0.0,3,7,Australia
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn and Tensorflow (Step-by-Step Tutorial For Beginners Book 1)  ",[],0.0,1,442,Australia
"Machine Learning Survival Models for Economics Analysis: Inventory, Evaluation Metrics, and Empirical Analysis  ",[],94.0,1,219,Australia
"Machine Learning: This book includes Machine Learning for Beginners,Artificial Intelligence and Machine Learning for business, Networking for beginners  ",[],57.0,5,280,Australia
MACHINE LEARNING  ,[],62.47971741594622,3,261,Australia
Machine Learning on Kubernetes: A practical handbook for building and using a complete open source machine learning platform on Kubernetes  ,[],84.0,1,224,Australia
Combating Women's Health Issues with Machine Learning: Challenges and Solutions (Biomedical and Robotics Healthcare)  ,[],76.0,2,107,Australia
MACHINE LEARNING TECHNIQUES. APPRENTISSAGE SUPERVISÉ AVEC R (French Edition)  ,[],72.0,3,49,Australia
The Hitchhiker's Guide to Machine Learning Algorithms: 100+ Machine Learning Algorithms Explained So Simply Even a Human Can Understand (The Hitchhiker's Guide to Success)  ,[],0.0,4,185,Australia
MACHINE LEARNING TECNICHE. APPRENDIMENTO SUPERVISIONATO CON R (Italian Edition)  ,[],72.0,2,447,Australia
Human-Machine Learning: Using Feedback to Design Systems That Serve Humanity  ,[],60.0,3,333,Australia
Basics of machine learning  ,[],0.0,3,360,Australia
Graph-Powered Machine Learning  ,[],121.0,4,90,Australia
"Bots & Bytes: An Introduction to Artificial Intelligence, ChatGPT, and Machine Learning  ",[],0.0,2,489,Australia
Machine Learning in Trading: Step by step implementation of Machine Learning models  ,[],0.0,3,103,Australia
Machine Learning Pocket Reference: Working with Structured Data in Python  ,[],31.0,4,85,Australia
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines  ",[],60.0,5,313,Australia
Ultimate Step by Step Guide to Deep Learning Using Python: Artificial Intelligence and Neural Network Concepts Explained in Simple Terms (Ultimate Step by Step Guide to Machine Learning Book 2)  ,[],0.0,1,384,Australia
Data Mining: Practical Machine Learning Tools and Techniques (Morgan Kaufmann Series in Data Management Systems)  ,[],79.0,4,334,Australia
Machine Learning for Absolute Beginners: A Plain English Introduction (First Edition)  ,[],3.0,4,77,Australia
Machine Learning Meets Quantum Physics (Lecture Notes in Physics Book 968)  ,[],109.0,1,213,Australia
Feature Engineering for Machine Learning: Principles and Techniques for Data Scientists  ,[],75.0,1,418,Australia
The AI Product Manager's Handbook: Develop a product that takes advantage of machine learning to solve AI problems  ,[],74.0,1,368,Australia
Machine Learning for Text  ,[],76.0,5,471,Australia
Exploring the Frontiers of Machine Learning: The Latest Innovations (Series of Layman pocket learning for knowledge seekers)  ,[],3.0,1,114,Australia
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street  ",[],46.758129792053545,3,411,Australia
"Machine Learning: The Ultimate Guide for Beginners and Starters (Artificial Intelligence, Algorithms, Data Science, Machine Learning For Beginners)  ",[],0.0,1,166,Australia
"Ace the 2023 AWS Certified Machine Learning Specialty Exam Prep: 3 Practice Exams, Quizzes, Flashcards, FAQs, I Passed AWS MLS-C01 Testimonials, Top 10 Technical Insights, Machine Learning concepts  ",[],15.0,4,355,Australia
Insights from the Algorithm: A Machine Learning Story  ,[],137.0,4,112,Australia
An Introduction to Machine Learning  ,[],72.0,4,129,Australia
"Artificial Intelligence: What You Need to Know About Machine Learning, Robotics, Deep Learning, Recommender Systems, Internet of Things, Neural Networks, Reinforcement Learning, and Our Future  ",[],4.0,5,413,Australia
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage  ,[],82.0,1,435,Australia
Machine Learning for Time Series Forecasting with Python  ,[],93.0,1,460,Australia
"Patterns, Predictions, and Actions: Foundations of Machine Learning  ",[],79.0,2,302,Australia
"Learning OpenCV 4 Computer Vision with Python 3: Get to grips with tools, techniques, and algorithms for computer vision and machine learning, 3rd Edition  ",[],77.0,3,96,Australia
Machine Learning with oneAPI  ,[],80.0,5,346,Australia
"Deep Learning with TensorFlow 2 and Keras: Regression, ConvNets, GANs, RNNs, NLP, and more with TensorFlow 2 and the Keras API, 2nd Edition  ",[],37.0,3,109,Australia
Machine Learning with R - Second Edition: Expert techniques for predictive modeling to solve all your data analysis problems  ,[],56.0,1,51,Australia
The Alignment Problem - Machine Learning and Human Values  ,[],0.0,4,268,Australia
Hands-On Machine Learning with ML.NET: Getting started with Microsoft ML.NET to implement popular machine learning algorithms in C#  ,[],84.0,2,287,Australia
Art in the Age of Machine Learning (Leonardo)  ,[],66.0,2,455,Australia
Learning Tensorflow.js: Powerful Machine Learning in JavaScript  ,[],56.0,3,299,Australia
Machine Learning For Business: A Developer's Cookbook  ,[],0.0,5,90,Australia
"Artificial Neural Networks and Machine Learning – ICANN 2023: 32nd International Conference on Artificial Neural Networks, Heraklion, Crete, Greece, September ... Notes in Computer Science Book 14260)  ",[],109.0,1,266,Australia
Machine Learning Applications in Civil Engineering (Woodhead Publishing Series in Civil and Structural Engineering)  ,[],259.0,1,384,Australia
"How To Become a Learning Machine: Quick Start Guide (""How To"" Books)  ",[],0.0,4,307,Australia
The Hundred-Page Machine Learning Book in italiano (Italian Edition)  ,[],64.0,1,307,Australia
Knowledge Guided Machine Learning: Accelerating Discovery using Scientific Knowledge and Data (Chapman & Hall/CRC Data Mining and Knowledge Discovery Series)  ,[],76.0,1,170,Australia
"Mastering Machine Learning on AWS: Advanced machine learning in Python using SageMaker, Apache Spark, and TensorFlow  ",[],66.0,1,295,Australia
MACHINE LEARNING WITH PYTHON : A Comprehensive Beginners Guide to Learn the Realms of Machine Learning with Python  ,[],0.0,5,227,Australia
Machine Learning and Deep Learning Algorithms: Tools and Techniques Using MATLAB and Python  ,[],13.0,3,36,Australia
"Network Science with Python: Explore the networks around us using network science, social network analysis, and machine learning  ",[],98.0,3,42,Australia
"The Ultimate Data and AI Guide: 150 FAQs About Artificial Intelligence, Machine Learning and Data  ",[],0.0,5,332,Australia
Python Machine Learning: Complete and Clear Introduction to the Basics of Machine Learning with Python. Comprehensive Guide to Data Science and Analytics.  ,[],0.0,4,68,Australia
Introduction to Machine Learning: A Beginner's Guide in Plain English  ,[],0.0,2,179,Australia
The Hundred-Page Machine Learning Book em português (Portuguese Edition)  ,[],61.0,2,116,Australia
AWS CERTIFIED MACHINE LEARNING – SPECIALTY EXAM PRACTICE TESTS AND QUESTIONS: QUESTION AND DUMPS FOR AWS MLS-C01 CERTIFICATION  ,[],11.0,5,407,Australia
Machine Learning with SAS® Viya®  ,[],32.0,1,222,Australia
AI and Machine Learning for Coders: A Programmer's Guide to Artificial Intelligence  ,[],51.0,5,107,Australia
Machine Learning Using TensorFlow Cookbook: Create powerful machine learning algorithms with TensorFlow  ,[],33.0,5,256,Australia
Machine Learning Cookbook with Python: Create ML and Data Analytics Projects Using Some Amazing Open Datasets (English Edition)  ,[],17.0,4,1,Australia
Machine Learning Engineering with Python: Manage the lifecycle of machine learning models using MLOps with practical examples  ,[],73.0,2,5,Australia
Machine Learning: New and Collected Stories  ,[],0.0,1,223,Australia
Interpretable Machine Learning: A Guide For Making Black Box Models Explainable  ,[],44.0,4,373,Australia
Grokking Machine Learning  ,[],44.0,5,401,Australia
Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications  ,[],0.0,1,153,Australia
Architecting Data and Machine Learning Platforms  ,[],84.0,2,14,Australia
"Azure Machine Learning Engineering: Deploy, fine-tune, and optimize ML models using Microsoft Azure  ",[],36.0,4,359,Australia
"Reinforcement Learning, second edition: An Introduction (Adaptive Computation and Machine Learning series)  ",[],117.0,3,19,Australia
Machine Learning: For Students and Professionals  ,[],0.0,2,437,Australia
